時間,裝置,溫度(°C),酸鹼(pH),溶解(ppm),TDS(EC)(ppm),導電(mS/cm),濁度(NTU),光照(lx),CO2_B(ppm),CO2_C(ppm)
2026-05-04 20:40:05,UNO_01,24.375,5.856545,867,6301,9.693915,712.6704,2396.667,-2,1566
2026-05-04 20:40:18,UNO_01,24.3125,5.860905,869,6307,9.703985,704.0435,2395,-2,1576
2026-05-04 20:40:31,UNO_01,24.3125,5.847823,936,6697,10.30439,1024.735,2396.667,-2,1557
2026-05-04 20:40:43,UNO_01,24.375,5.792009,866,6307,9.704166,817.9517,2395.833,-2,1555
2026-05-04 20:40:56,UNO_01,24.3125,5.862649,869,6309,9.70655,754.7681,2397.5,-2,1580
2026-05-04 20:41:08,UNO_01,24.3125,5.849567,869,6653,10.23639,1194.202,2401.667,-2,1571
2026-05-04 20:41:23,UNO_01,24.3125,5.74666,900,6309,9.70655,777.2173,2423.333,-2,1582
2026-05-04 20:41:34,UNO_01,24.3125,5.851311,868,6305,9.70142,850.7231,2399.167,-2,1571
2026-05-04 20:41:49,UNO_01,24.3125,5.865265,868,6310,9.707833,1254.941,2415.833,-2,1585
2026-05-04 20:41:59,UNO_01,24.3125,5.733579,974,6324,9.729643,793.4009,2420.833,-2,1606
2026-05-04 20:42:12,UNO_01,24.3125,5.848695,869,6312,9.711682,774.1274,2397.5,-2,1603
2026-05-04 20:42:28,UNO_01,24.3125,5.862649,869,6316,9.718097,833.2271,2401.667,-2,1613
2026-05-04 20:42:37,UNO_01,24.375,5.852184,994,6589,10.13728,817.9517,2420.833,-2,1620
2026-05-04 20:42:51,UNO_01,24.375,5.857416,867,6302,9.696478,797.2485,2406.667,-2,1610
2026-05-04 20:43:04,UNO_01,24.375,5.865265,866,6304,9.69904,770.2622,2397.5,-2,1595
2026-05-04 20:43:15,UNO_01,24.375,5.862649,940,6684,10.28337,946.0747,2398.333,-2,1575
2026-05-04 20:43:28,UNO_01,24.375,5.795497,866,6304,9.69904,791.8618,2417.5,-2,1567
2026-05-04 20:43:41,UNO_01,24.3125,5.853928,869,6310,9.707833,754.7681,2423.333,-2,1556
2026-05-04 20:43:53,UNO_01,24.3125,5.8548,869,6672,10.26462,1105.426,2428.333,-2,1553
2026-05-04 20:44:06,UNO_01,24.375,5.7423,896,6305,9.700323,696.1919,2427.5,-2,1545
2026-05-04 20:44:19,UNO_01,24.3125,5.864393,869,6309,9.70655,715.8013,2428.333,-2,1560
2026-05-04 20:44:31,UNO_01,24.375,5.863521,866,6308,9.705448,1190.024,2425.833,-2,1557
2026-05-04 20:44:44,UNO_01,24.375,5.7048,972,6307,9.704166,810.2954,2424.167,-2,1555
2026-05-04 20:44:57,UNO_01,24.3125,5.861776,869,6315,9.716814,747.7798,2415.833,-2,1561
2026-05-04 20:45:11,UNO_01,24.375,5.876602,866,6305,9.700323,878.7271,2425,-2,1598
2026-05-04 20:45:22,UNO_01,24.3125,5.836486,991,6577,10.11965,771.8091,2410,-2,1585
2026-05-04 20:45:35,UNO_01,24.3125,5.862649,869,6314,9.714249,678.0767,2425,-2,1576
2026-05-04 20:45:50,UNO_01,24.3125,5.870497,868,6315,9.716814,708.7505,2424.167,-2,1675
2026-05-04 20:46:00,UNO_01,24.3125,5.856545,959,6688,10.29028,966.0688,2423.333,-2,1585
2026-05-04 20:46:13,UNO_01,24.375,5.831253,866,6308,9.705448,833.9888,2427.5,-2,1567
2026-05-04 20:46:26,UNO_01,24.375,5.864393,866,6306,9.701603,755.5454,2405.833,-2,1550
2026-05-04 20:46:38,UNO_01,24.3125,5.866137,869,6714,10.33005,1138.083,2410.833,-2,1553
2026-05-04 20:46:51,UNO_01,24.375,5.756253,886,6307,9.704166,779.5337,2424.167,-2,1546
2026-05-04 20:47:08,UNO_01,24.3125,5.850439,870,6317,9.719379,788.7837,2407.5,-2,1551
2026-05-04 20:47:16,UNO_01,24.3125,5.861776,869,6317,9.719379,1272.009,2428.333,-2,1581
2026-05-04 20:47:29,UNO_01,24.3125,5.706544,969,6317,9.719379,706.3989,2417.5,-2,1625
2026-05-04 20:47:42,UNO_01,24.3125,5.865265,868,6320,9.723228,737.6665,2424.167,-2,2424
2026-05-04 20:47:56,UNO_01,24.3125,5.857416,869,6321,9.725795,979.3423,2430,-2,1771
2026-05-04 20:48:07,UNO_01,24.3125,5.798114,986,6548,10.07475,804.1606,2420.833,-2,1654
2026-05-04 20:48:26,UNO_01,24.375,5.858288,866,6311,9.710573,700.1216,2427.5,-2,1607
2026-05-04 20:48:32,UNO_01,24.3125,5.8548,869,6319,9.721945,719.7114,2428.333,-2,1595
2026-05-04 20:48:45,UNO_01,24.375,5.847823,961,6679,10.27568,899.7974,2427.5,-2,1585
2026-05-04 20:48:58,UNO_01,24.375,5.812939,866,6315,9.715699,750.1099,2420,-2,1582
2026-05-04 20:49:10,UNO_01,24.3125,5.853928,868,6321,9.725795,777.2173,2430.833,-2,1581
2026-05-04 20:49:24,UNO_01,24.3125,5.853928,869,6714,10.33005,1108.991,2427.5,-2,1585
2026-05-04 20:49:35,UNO_01,24.375,5.751893,881,6316,9.71698,753.2173,2422.5,-2,1593
2026-05-04 20:49:48,UNO_01,24.3125,5.857416,868,6320,9.723228,722.8384,2430.833,-2,1589
2026-05-04 20:50:01,UNO_01,24.3125,5.857416,868,6358,9.782242,1253.573,2412.5,-2,1596
2026-05-04 20:50:14,UNO_01,24.3125,5.713521,967,6324,9.729643,678.8677,2408.333,-2,1652
2026-05-04 20:50:26,UNO_01,24.3125,5.863521,868,6320,9.723228,796.4771,2407.5,-2,1607
2026-05-04 20:50:39,UNO_01,24.375,5.855672,866,6316,9.71698,926.731,2425,-2,1605
2026-05-04 20:50:52,UNO_01,24.3125,5.788521,984,6536,10.0555,666.2271,2409.167,-2,1603
2026-05-04 20:51:04,UNO_01,24.3125,5.860905,868,6323,9.72836,703.2622,2406.667,-2,1604
2026-05-04 20:51:17,UNO_01,24.3125,5.857416,868,6326,9.733491,695.4067,2429.167,-2,1611
2026-05-04 20:51:30,UNO_01,24.3125,5.852184,973,6685,10.28515,931.9497,2420.833,-2,1601
2026-05-04 20:51:43,UNO_01,24.375,5.825149,865,6319,9.722106,763.2974,2420.833,-2,1580
2026-05-04 20:51:55,UNO_01,24.3125,5.849567,868,6325,9.732208,670.9692,2408.333,-2,1573
2026-05-04 20:52:08,UNO_01,24.375,5.855672,866,6793,10.45123,1108.278,2420,-2,1558
2026-05-04 20:52:20,UNO_01,24.3125,6.145206,868,6332,9.742473,773.356,2405.833,-2,1554
2026-05-04 20:52:33,UNO_01,24.25,6.241137,871,6345,9.761602,750.8872,2423.333,-2,1553
2026-05-04 20:52:46,UNO_01,24.25,6.221951,871,6492,9.988945,1199.766,2427.5,-2,1562
2026-05-04 20:52:58,UNO_01,24.25,6.141718,948,6342,9.757749,726.7446,2425,-2,1554
2026-05-04 20:53:11,UNO_01,24.25,6.255962,871,6342,9.757749,743.8911,2430,-2,1553
2026-05-04 20:53:24,UNO_01,24.25,6.237648,871,6340,9.753896,1039.993,2431.667,-2,1554
2026-05-04 20:53:36,UNO_01,24.25,6.214102,981,6520,10.03133,740.7798,2430.833,-2,1550
2026-05-04 20:53:49,UNO_01,24.25,6.244625,872,6342,9.757749,727.5278,2427.5,-2,1547
2026-05-04 20:54:08,UNO_01,24.25,6.25509,870,6342,9.757749,718.1489,2426.667,-2,1543
2026-05-04 20:54:14,UNO_01,24.25,6.27602,991,6701,10.31005,856.0376,2432.5,-2,1546
2026-05-04 20:54:27,UNO_01,24.25,6.289102,870,6345,9.762886,751.6626,2425.833,-2,1552
2026-05-04 20:54:40,UNO_01,24.1875,6.281253,873,6349,9.769204,723.6216,2410.833,-2,1547
2026-05-04 20:54:53,UNO_01,24.25,6.319624,871,6831,10.51042,1104.715,2426.667,-2,1546
2026-05-04 20:55:05,UNO_01,24.25,6.228928,871,6335,9.746188,746.2251,2431.667,-2,1548
2026-05-04 20:55:18,UNO_01,24.25,6.273404,870,6341,9.756464,739.2212,2431.667,-2,1541
2026-05-04 20:55:30,UNO_01,24.25,6.315264,870,6547,10.07372,1163.444,2427.5,-2,1543
2026-05-04 20:55:43,UNO_01,24.25,6.214974,938,6339,9.752611,723.6216,2414.167,-2,1524
2026-05-04 20:55:56,UNO_01,24.1875,6.317881,873,6344,9.761488,753.2173,2410,-2,1523
2026-05-04 20:56:09,UNO_01,24.1875,6.33009,873,6343,9.758918,1078.237,2408.333,-2,1512
2026-05-04 20:56:21,UNO_01,24.25,6.252474,979,6457,9.934999,747.7798,2427.5,-2,1520
2026-05-04 20:56:34,UNO_01,24.25,6.311776,871,6338,9.751327,743.8911,2417.5,-2,1522
2026-05-04 20:56:46,UNO_01,24.1875,6.33009,874,6352,9.773061,727.5278,2416.667,-2,1520
2026-05-04 20:56:59,UNO_01,24.1875,6.310032,1011,6701,10.30929,791.8618,2411.667,-2,1515
2026-05-04 20:57:12,UNO_01,24.25,6.331834,870,6333,9.74362,744.6685,2419.167,-2,1511
2026-05-04 20:57:25,UNO_01,24.25,6.307416,870,6346,9.764172,752.4419,2412.5,-2,1509
2026-05-04 20:57:37,UNO_01,24.1875,6.320497,904,6772,10.4186,1043.616,2425,-2,1508
2026-05-04 20:57:50,UNO_01,24.25,6.265555,871,6338,9.751327,713.4517,2429.167,-2,1506
2026-05-04 20:58:03,UNO_01,24.1875,6.322241,873,6349,9.769204,746.2251,2435.833,-2,1506
2026-05-04 20:58:15,UNO_01,24.1875,6.34666,873,6627,10.19613,1165.547,2426.667,-2,1501
2026-05-04 20:58:28,UNO_01,24.1875,6.241137,919,6346,9.76406,733.7681,2431.667,-2,1496
2026-05-04 20:58:41,UNO_01,24.1875,6.320497,873,6347,9.765347,754.7681,2410,-2,1495
2026-05-04 20:58:53,UNO_01,24.1875,6.316137,872,6340,9.755058,1167.653,2411.667,-2,1507
2026-05-04 20:59:06,UNO_01,24.1875,6.268172,979,6414,9.86822,757.8735,2429.167,-2,1497
2026-05-04 20:59:19,UNO_01,24.1875,6.337067,872,6339,9.753772,771.0356,2433.333,-2,1494
2026-05-04 20:59:31,UNO_01,24.1875,6.339683,872,6340,9.755058,736.8853,2419.167,-2,1491
2026-05-04 20:59:57,UNO_01,24.1875,6.339683,872,6341,9.756344,735.3267,2422.5,-2,1498
